Book Name,Author,Rating,Customers_Rated,Price
Room on the Broom,Julia Donaldson,4.9 out of 5 stars,"28,213",$6.17
Fizban's Treasury of Dragons (Dungeon & Dragons Book),Wizards RPG Team,0,0,$29.97
All the Light We Cannot See: A Novel,Anthony Doerr,4.6 out of 5 stars,"51,662",$10.74
The Midnight Library: A Novel,Matt Haig,4.3 out of 5 stars,"111,372",$13.29
How to Catch a Unicorn,Adam Wallace,4.8 out of 5 stars,"26,018",$5.49
Silverview: A Novel,John le Carré,5.0 out of 5 stars,1,$21.99
The Going-To-Bed Book,Sandra Boynton,4.8 out of 5 stars,"11,586",$3.97
I'll Take Your Questions Now: What I Saw at the Trump White House,Stephanie Grisham,3.7 out of 5 stars,407,$19.11
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4.7 out of 5 stars,"17,152",$5.42
"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates…",Mary Pope Osborne,4.8 out of 5 stars,"15,460",$11.95
The Korean Vegan Cookbook: Reflections and Recipes from Omma's Kitchen,Joanne Lee Molinaro,0,0,$20.04
The Berenstain Bears Trick or Treat (First Time Books),Stan Berenstain,4.8 out of 5 stars,"2,027",$4.74
Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars,"191,597",$9.98
Junie B. Jones's First Boxed Set Ever! (Books 1-4),Barbara Park,4.8 out of 5 stars,"12,685",$14.81
"Rigged: How the Media, Big Tech, and the Democrats Seized Our Elections",Mollie Hemingway,0,0,$24.49
